ID,起票日,カテゴリ,種別,タイトル,課題詳細,対応方針_案,ステータス,優先度,関連施策,タスク化先,対応方針_確定,確定日,備考,詳細ファイル
ISS-011,2026-02-25,ドキュメント,改善提案,L1の判断根拠記録場所がworkflow.mdに未記載,l1-manager.md では「判断根拠は 03_work_log.md（存在する場合は末尾）に記録すること」と明記されているが、workflow.md にはこの要件が記載されていない。,[案] workflow.md のファイルオーナーシップセクションまたはフロー図に、L1が判断根拠を記録する先（03_work_log.md）を明記する。,クローズ,低,triage/20260225,workflow-doc-consistency-fix,,2026-03-04,以前の修正で脚注 *1 として既に対応済みだった。施策 workflow-doc-consistency-fix で確認・クローズ,
ISS-012,2026-02-25,ドキュメント,改善提案,refs/孤立エントリ処理の手順がworkflow.mdで不十分,triage.md では refs/ 孤立エントリ確認時にユーザーへの内容確認・inbox/ref_*.md作成・概要と方針の記載が必要とされているが、workflow.md のトリアージフローでは概要レベルの記述に留まっている。,[案] workflow.md のトリアージフロー内のrefs/確認手順に、ユーザー確認・inbox/ref_*.md作成の具体的手順を追記する。,クローズ,低,triage/20260225,workflow-doc-consistency-fix,,2026-03-04,以前の修正で refs/ 手順が既に詳細化済みだった。施策 workflow-doc-consistency-fix で確認・クローズ,
ISS-013,2026-02-25,ドキュメント,知見,Claude Code Agent Teams 機能がworktreeガイドラインで言及されていない,worktree ガイドライン文書（docs/git-worktree-guideline.md）に Agent Teams 機能（実験的）への言及がない。参考 PoC の docs/reference.md では方式Cとして紹介されており、将来の並列化施策で worktree + Agent Teams の組み合わせパターンを検討する際に認識しておくべき知見。,[案] ガイドライン次回改訂時にセクション5（将来の拡張方針）で Agent Teams + worktree の組み合わせパターンを参考情報として追記する。,起票,低,git-worktree-standardization,,,,,
ISS-014,2026-02-25,プロセス,改善提案,ガイドラインからルールファイルへの組み込みパスが曖昧,協調プロトコルガイドラインのステップ1（コミットメッセージ規約）は即時適用可能と記載されているが、実際に .claude/rules/ や CLAUDE.md に反映するための具体的な手順・タイミング・担当施策が未定義。ガイドラインが参照情報のまま放置されるリスクがある。,[案] コミットメッセージ規約のルールファイル反映を別施策として backlog に起票する。または次回トリアージでステップ1 のルール反映を検討する。,クローズ,中,coordination-protocol,commit-message-rules,施策 commit-message-rules で .claude/rules/commit-message.md を作成しステップ1のルール化を完了,2026-03-03,,
ISS-015,2026-02-27,プロセス,改善提案,m6o-es-product-api のドキュメント移動実施（フェーズ2）,m6o-es-product-apiドキュメント整理施策（フェーズ1）で設計した design.md のマッピング表に基づき、実際のファイル移動・ディレクトリ作成・ファイル改名を実施する。CLAUDE.md のパス参照更新も含む。,[案] backlog/m6o-es-product-apiドキュメント移動実施.md として起票し、次セッションで施策開始する。,クローズ,高,m6o-es-product-apiドキュメント整理,,,2026-03-03,施策「m6o-es-product-apiドキュメント移動実施」完了・アーカイブ済み。トリアージ2026-03-03でクローズ,
ISS-016,2026-02-27,プロセス,改善提案,m6o-es-product-api の .claude/rules/ 向けルールファイル整備,ファイル移動完了後に .claude/rules/ 配下へ配置した資料を AI 向けルールファイルとして整備し、Claude が適切にコンテキスト参照できるよう CLAUDE.md を更新する。フェーズ2（ファイル移動実施）の完了後に実施する後続施策。,[案] フェーズ2完了後に別施策として backlog 起票する。,起票,中,m6o-es-product-apiドキュメント整理,,,,,
ISS-017,2026-02-27,設定,改善提案,settings.json の充実（$schema追加・denyルール設定）,現在の .claude/settings.json は実質空の設定。$schema の追加、機密ファイル（.env等）の deny ルール、頻用コマンドの allow ルールを設定すべき。claude-directory-guide.md §4.3 の優先度1（短期）。,[案] settings.json に $schema・deny・allow を追加する短期施策として実施する。,クローズ,中,claude-directory-structure-rules,,maintenance コミットで settings.json を新規作成。$schema + deny ルール（.env/secrets/*.pem/*.key）を設定,2026-03-07,4回連続未着手の末 maintenance コミットで対応,
ISS-018,2026-02-27,設定,改善提案,rules/ の paths フロントマター活用,code-in-docs.md（→ docs/**/*.md）、design-doc.md（→ docs/design/**/*.md）に paths フロントマターを設定し、コンテキスト効率を向上させる。claude-directory-guide.md §4.3 の優先度2（短期）。,[案] 対象ルールファイルに paths: YAML フロントマターを追加する。,クローズ,中,claude-directory-structure-rules,,スキップ: 現時点で commit-message.md が唯一の rules ファイルであり全コミット対象のため paths 制限は不適切。rules ファイル追加時に再検討,2026-03-07,4回連続未着手。理由付きスキップでクローズ,
ISS-019,2026-02-27,設定,改善提案,claude-directory-guide.md の skills/ 移動検討,claude-directory-guide.md が519行と大きく、rules/ の常時読み込みによるコンテキストコスト増加の懸念がある。参照資料としてオンデマンド読み込みの skills/ に移動する方が効率的。,[案] skills/ に移動し、必要時のみ読み込まれるスキルとして再構成する。,起票,低,claude-directory-structure-rules,,,,,
ISS-020,2026-02-28,ツール,改善提案,config.yaml の tasks ルールのカテゴリ分けが CLI ツールに適合しない,config.yaml の tasks ルールで「DB / API / フロントエンド / テスト のカテゴリに分けること」と指定されているが、CLI ツールや非Web系プロジェクトではこのカテゴリ分けが適合しない。,[案] config.yaml の tasks ルールを「プロジェクトタイプに応じた適切なカテゴリに分けること」のような柔軟な表現に変更するか、デフォルトカテゴリを参考例として示す形にする。,起票,低,openspec-code-trial,,,,,
ISS-021,2026-02-28,プロセス,知見,spec 作成時にエッジケース・境界条件のシナリオが漏れやすい,spec に記載されていなかったエッジケース（ネストしたコードブロック等）が初回実装で漏れた。テストで発見・修正できたが、spec に明記しておけば初回から正しい実装ができた。,[案] spec 作成時のガイドラインとして「エッジケース・境界条件のシナリオを意識的に追加する」チェックリストを設けることを検討する。,起票,低,openspec-code-trial,,,,,
ISS-022,2026-02-28,プロセス,知見,spec 作成フェーズが openspec サイクルのボトルネック,openspec-code-trial の実施で、spec 作成フェーズ（proposal → specs）が最もコンテキストを消費するボトルネックであることが判明。要件の粒度（どこまで細かく書くか）と網羅性（エッジケース・境界条件の洗い出し）の判断にコンテキストが集中する。proposal での Capabilities 設計と、spec での観測可能な振る舞いへの集中が重要。,[案] spec 作成時の支援として、① proposal の Capabilities から spec シナリオを導出するチェックリスト・ガイドラインの整備、② spec レビュー観点（粒度・網羅性）の明文化、③ explore モードでの事前調査フェーズの活用推奨を検討する。,起票,中,openspec-code-trial,,,,,
ISS-023,2026-03-01,プロセス,次施策候補,コード開発ワークフロー・ロール定義の実装,施策「シナリオ別セッション運用フロー設計」で設計した session-operation-flow.md をもとに、dev_manager.md 新規作成、common.md 修正、既存7ロール修正、既存設計ドキュメント（dev-workflow-overview.md / dev-workflow-detail.md）更新を実施する。session-operation-flow.md §13.3 に実装項目7件と優先順位（Phase A/B/C）を記載済み。,[案] backlog に起票し、session-operation-flow.md §13.3 の実装順序に従い施策を実施する。,クローズ,高,シナリオ別セッション運用フロー設計,,,2026-03-02,施策「コード開発ワークフロー・ロール定義の実装」として実施完了。ゲート通過判定済み,
ISS-025,2026-03-02,ドキュメント,改善提案,既存7ロールのセクション名を role-format-guide に統一,"既存7ロール（feature_builder, test_writer, reviewer, bug_fixer, refactorer, optimizer, documentarian）のセクション名が「あなたの責務」「作業の流れ」であり、role-format-guide の推奨名「あなたの役割」「作業フロー」と不一致。施策「コード開発ワークフロー・ロール定義の実装」のSC-6評価で観察事項として検出。",[案] 7ファイルのセクション名を一括置換する。「あなたの責務」→「あなたの役割」、「作業の流れ」→「作業フロー」。影響範囲が限定的なため単発タスクとして実施可能。,クローズ,低,コード開発ワークフロー・ロール定義の実装,,,2026-03-04,トリアージレビュー承認に基づき maintenance コミットで7ファイルを一括置換,
ISS-024,2026-03-02,ドキュメント,改善提案,dev-workflow-detail.md の残存 L1 参照をユーザーに置換,dev_manager を最上位オーケストレーター化し roles/ を dev-process-improvement から独立させた際、§5.2 の L1 参照はユーザーに置換済みだが、§3・§4 の mermaid シーケンス図（3箇所）および §8 エスカレーションテーブル（1箇所）に「施策管理 L1」参照が残存している。対象: dev-workflow-detail.md 69行目・168行目・246行目・496行目。,[案] dev-workflow-detail.md 全体の L1 参照を精査し、roles/ 独立の設計方針に合わせてユーザーに置換する。mermaid 図のシーケンスフロー（L1 → dev_manager）をユーザー → dev_manager に変更し、エスカレーション先も L1 → ユーザーに統一する。,クローズ,中,シナリオ別セッション運用フロー設計,workflow-doc-consistency-fix,,2026-03-04,施策 workflow-doc-consistency-fix で「施策管理 L1」参照を全てユーザーに置換。エスカレーションフロー内の一般的な L1 参照は別途検討,
ISS-026,2026-03-02,環境,リスク,gh CLI が実行環境にインストールされていない,実行環境に gh CLI がインストールされていない。which gh で確認済み。GitHub API を使うタスク（リポジトリ作成・PR 作成等）が実行不可となる。dev-process-improvement リポジトリ分離施策の T-001/T-002/T-003 がブロックとなった。,[案] 実行環境に gh CLI をインストールする。または gh CLI が必要なタスクは事前に環境チェックを行い、不在時は手動対応へフォールバックする手順を整備する。,クローズ,中,dev-process-improvementリポジトリ分離,,ローカル環境に gh CLI v2.87.3 がインストール済み。問題解消,2026-03-07,トリアージ20260307-2で確認・クローズ,
ISS-027,2026-03-02,環境,リスク,Claude Code Web は1セッション=1リポジトリの制約がある,Claude Code Web のクラウド環境はセッション作成時に紐づけたリポジトリのみ Git プロキシが認可する。フルネットワークアクセス設定でも別リポジトリへの git push は repository not authorized で拒否される。ネットワークアクセス設定（なし/信頼済み/フル/カスタム）は外部通信範囲の制御であり、Git プロキシのリポジトリ認可とは別レイヤー。リポジトリ分離を行うと分離先での作業に別セッションが必要となり、親リポのコンテキスト（CLAUDE.md・roles/・openspec/ 等）を直接参照できなくなる。,[案] ①モノレポ構成を維持し分離を見送る（現状の方針） ②Claude Code がマルチリポ対応した時点で再検討 ③複数リポへの同時操作が必要な場合はローカル環境で実施,起票,高,dev-process-improvementリポジトリ分離,,,,,
ISS-028,2026-03-03,ドキュメント,改善提案,triage セッションの PR タイトルとコミットメッセージで日付形式が不一致,triage.md の PR タイトル形式は「triage: YYYY-MM-DD トリアージレポート」（ハイフン区切り）だが、commit-message.md のコミットメッセージ形式は「[triage] YYYYMMDD: 要約」（ハイフンなし）。同一セッション内で日付表記が統一されていない。機能的な問題はないがルールファイル間の一貫性に影響する。,[案] triage.md の PR タイトル形式またはコミットメッセージ形式のいずれかに日付形式を統一する。影響範囲は triage.md と commit-message.md の2ファイルに限定。,クローズ,低,commit-message-rules,,,2026-03-04,triage.md の PR タイトル形式を YYYYMMDD（compact）に統一,
ISS-029,2026-03-04,プロセス,知見,ルール変更時の連動更新対象ファイル一覧がルールファイル内に明文化されていない,triage.md のルールを変更した場合にテンプレート3ファイル（00_pre_investigation.md・01_plan.md・03_report.md）と docs/workflow.md の更新が必要だが、この対応関係がルールファイル自体に記載されていない。backlog-relationship-analysis 施策で実施ワーカーと評価ワーカーが独立して同一の知見に到達しており重要性が裏付けられている。,[案] triage.md の冒頭またはセクション末尾に「関連ファイル一覧」セクションを追加し、ルール変更時に連動更新が必要なファイルを明記する。他のルールファイルにも同様のパターンを適用することを検討する。,クローズ,中,backlog-relationship-analysis,workflow-doc-consistency-fix,,2026-03-04,施策 workflow-doc-consistency-fix で triage-manager.md に「関連ファイル一覧」セクション追加済み,
ISS-030,2026-03-04,プロセス,改善提案,dev-process-improvement 側の collab-log 参照が未更新,ai-driven-dev-patterns 側で docs/collab-log.md を廃止し inbox/ に統合したが、dev-process-improvement 側の運用ルール（triage.md・CLAUDE.md・workflow.md・triage/_template/00_pre_investigation.md）に docs/collab-log.md への能動的な参照が残存している。蒸留フローや記録先の指定が古い参照を指したままであり、運用の一貫性が損なわれている。,[案] dev-process-improvement 側で別施策として collab-log 参照の inbox への更新を実施する。triage.md の蒸留フローを inbox 走査に変更、CLAUDE.md のセッション終了時の記録先を inbox に変更、テンプレートの collab-log セクションを inbox 確認に変更する。,クローズ,中,ai-driven-dev-patternsの改善サイクル整備,workflow-doc-consistency-fix,,2026-03-04,施策 workflow-doc-consistency-fix で collab-log 参照を inbox に更新・collab-log.md を削除,
ISS-032,2026-03-04,プロセス,知見,CSV ステータスの同期漏れパターン,ルールファイルや workflow.md の修正で課題が実質解消された場合、CSV のステータスが「起票」のまま残存することがある。ISS-010/011/012 が4回のトリアージで未対応のまま残存した原因。,[案] トリアージの走査ステップに「修正実施時の CSV ステータス更新確認」を追加する。ルール修正時に関連する CSV 課題のステータスも同時に更新するチェックフローを整備する。,起票,低,workflow-doc-consistency-fix,,,,,
ISS-033,2026-03-04,プロセス,知見,成功基準と CSV 対応方針案のスコープ整合,01_plan.md の成功基準の文言と CSV の対応方針案のスコープにずれがあると、評価時に対応漏れが検出されない。SC-2 で「施策管理 L1」参照0件を基準としたが、CSV には「全体の L1 参照を精査」と記載されていた。,[案] 成功基準を作成する際に、CSV の対応方針案と整合する表現にするか、対応方針案のスコープを成功基準に合わせて絞ることを明確にする。,起票,低,workflow-doc-consistency-fix,,,,,
ISS-031,2026-03-04,プロセス,知見,inbox/backlog が ai-driven-dev-patterns と dev-process-improvement の両方に存在する二重構造,ai-driven-dev-patterns 直下に inbox/ backlog/ を新設したが、dev-process-improvement/ 配下にも同名のディレクトリが存在する。現状はそれぞれ独立した管理単位（ai-driven-dev-patterns 側は開発知見のバッファ、dev-process-improvement 側はプロセス改善の施策管理）だが、将来的に用途の混乱が生じる可能性がある。,当面は二重構造を許容する。用途が異なるため README.md でスコープを明記して運用する。統合の必要性が出た場合は別施策として検討する。,方針確定,低,ai-driven-dev-patternsの改善サイクル整備,,当面は二重構造を許容する。用途が異なるため README.md でスコープを明記して運用する。,2026-03-04,,
ISS-034,2026-03-06,ドキュメント,改善提案,workflow.md にイニシアティブクローズ手順が未追加（2回連続未修正）,workflow.md のイニシアティブフローにクローズステップ（ゲート通過後→クローズチェックリスト→アーカイブ→PR作成）が未追加。l1-manager.md には詳細なクローズ手順が記載（170行目〜）。20260305-2 で CRITICAL として検出し「軽微修正で対応可能」と判断されたが2回連続で未修正。,[案] maintenance コミットで workflow.md のイニシアティブフロー末尾にクローズステップを追記する。2回連続未修正のため明示的タスク化を推奨。,クローズ,中,triage/20260306,,maintenance コミットで対応済み（20260306トリアージセッション内）,2026-03-06,,
ISS-035,2026-03-06,ドキュメント,改善提案,workflow.md のトリアージフローに evaluator ステップが未反映（2回連続未修正）,workflow.md のトリアージフローにワーカー＋評価者のディスパッチモデル（worker→evaluator→次のset）が未反映。triage-manager.md にはディスパッチパターンが明記。20260305-2 で CRITICAL として検出し「軽微修正で対応可能」と判断されたが2回連続で未修正。,[案] maintenance コミットで workflow.md のトリアージフロー ステップ3 にワーカー＋評価者セットのディスパッチサブステップを追記する。,クローズ,中,triage/20260306,,maintenance コミットで対応済み（20260306トリアージセッション内）,2026-03-06,,
ISS-036,2026-03-06,プロセス,改善提案,triage-worker.md の知見記録セクションに分類テーブル未定義,triage-standard-policy-guideline.md のセクション1.2では triage-worker の気づき記録は「必須」とされているが、triage-worker.md のスキャンレポートテンプレートには「判断・気づき」セクションのみで「ルール化候補」「参考情報」分類テーブルが未定義。L2-worker の 04_work_report.md テンプレートには分類テーブルが定義されており非対称。,[案] triage-worker.md のスキャンレポートテンプレートまたは triage/_template/workers/_template/04_scan_report.md テンプレートに分類テーブルを追加する。,クローズ,中,triage/20260306,,,2026-03-07,triage-worker.md スキャンレポートテンプレートに分類テーブル追加済み。トリアージ20260307で確認・クローズ,
ISS-037,2026-03-06,プロセス,改善提案,triage-evaluator.md の知見記録言及が弱い・担当ファイルテーブルに02_scan_plan.md未記載,(1) triage-evaluator.md の「やること」で知見記録への言及はあるが、06_eval_report.md テンプレート内の分類テーブルとの関連がロール定義本文からは弱い。(2) 担当ファイルテーブルに 02_scan_plan.md が読み取り対象として含まれていない。,[案] (1) 知見記録への言及強化は次回ルール改訂で対応。(2) 担当ファイルテーブルに 02_scan_plan.md | 読み取りのみ を追加する。,クローズ,低,triage/20260306,,,2026-03-07,triage-evaluator.md に知見記録セクション追加済み・02_scan_plan.md を担当ファイルテーブルに追加済み。トリアージ20260307で確認・クローズ,
ISS-038,2026-03-07,プロセス,知見,CSV列追加時に全既存行の列数整合性を検証すべき,Python csv モジュールは欠落フィールドをエラーにしないため、列追加後に全行の列数が一致しているかの検証ステップを追加するとよい。今回12行で末尾空フィールドが欠落していた。,[案] CSV列追加の手順に「追加後に全行の列数が header と一致するか検証する」ステップを追加する。,起票,低,課題管理とinbox管理の方法見直し,,,,,
ISS-039,2026-03-07,プロセス,知見,L1クローズ手順で gate_review の Write と git mv の実行順序に注意が必要,08_gate_review.md の内容を Write で更新した後、同一コミットで git mv（アーカイブ移動）を行うと、Write の変更が反映される前に mv が実行され、テンプレート状態のままコミットされるケースが発生した。gate_review の内容確定→コミット→アーカイブ移動の順序を守る必要がある。,[案] l1-manager.md のクローズ手順に「08_gate_review.md の内容をコミットしてからアーカイブ移動を行うこと」の注意書きを追加する。,起票,低,課題管理とinbox管理の方法見直し,,,,,
ISS-040,2026-03-07,プロセス,改善提案,triage-evaluator 壁打ちフェーズの policy 不整合（推奨→必須更新が必要）,triage-standard-policy の適用マトリクスでは triage-evaluator の壁打ちは「推奨」だが、triage-evaluator.md では必須的に記述されている。policy を実装に合わせて「必須」に更新すべき。,[案] triage-standard-policy の適用マトリクスで triage-evaluator の壁打ちを「推奨」→「必須」に変更する。,クローズ,低,triage/20260307-3,,triage-standard-policy の適用マトリクスを更新済み（トリアージ20260308で maintenance 対応）,2026-03-08,,
ISS-041,2026-03-08,プロセス,改善提案,backlog.csv に施策化済みエントリが残存するパターン,施策化時に backlog/<施策名>.md は git rm されるが backlog.csv のエントリ削除が漏れるケースが発生。今回3件の施策化済みエントリが残存。,[案] l1-manager.md のクローズチェックリストに「backlog.csv エントリの削除確認」ステップを追加する。,クローズ,低,triage/20260308,backlog-archive-matching T-005,l1-manager クローズチェックリストにステップ5を追加 + パターン1に backlog.csv 行削除を追加,2026-03-11,トリアージ20260312でクローズ（backlog-archive-matching T-005完了・ゲート通過確認）,
ISS-042,2026-03-08,プロセス,改善提案,パス移動施策の grep 検証で走査対象ディレクトリが網羅されていない,grep 検証（T-006）が backlog/ を走査対象に含めず6ファイル7箇所に旧パスが残存。01_plan.md の影響ファイル一覧にも backlog/ が含まれていなかった。,[案] rule-change-checklist スキルに「ルートレベルの全ディレクトリを走査対象に含めたか」の確認項目を追加する。,起票,中,partial-repo-sync,,,,,issues/entries/ISS-042.md
ISS-043,2026-03-08,プロセス,リスク,commit-message.md の2系統共存による運用混乱リスク,ai-driven-dev-patterns の commit-message.md に Conventional Commits 形式とセッションプレフィックス形式の2系統が共存。使い分けガイドを追記したが実運用での混乱リスクがある。,[案] 同期先での実運用を経過観察し混乱が生じた場合は使い分けガイド強化または統一方針を策定する。,起票,低,sync/20260308,,,,,
ISS-044,2026-03-08,プロセス,改善提案,ai-driven-dev-patterns の連動更新が未実施,sync/20260308 で導入した3スキル（rule-change-checklist/session-flow-policy/session-start-branch-cleanup）の関連ファイル一覧に記載されている連動更新先（docs/・roles/dev_manager.md等）が未更新。,[案] ai-driven-dev-patterns 側で連動更新施策を実施するか次回同期セッションのスコープに含める。,起票,中,sync/20260308,,,,,
ISS-045,2026-03-08,設定,知見,Claude Agent SDK 環境では settings.json の allow/deny リストが機能しない,SDK 経由のサブエージェント環境では deny リストのコマンド（rm -rf 等）が拒否されず実行された。allow/deny は CLI 対話型環境を前提とした仕組み。,[案] deny リストを CLI 環境でのセーフガードとして位置づけ SDK 環境では別途の安全策が必要である旨を運用ガイドに明記する。,起票,中,subagent-permission-model,,,,,issues/entries/ISS-045.md
ISS-046,2026-03-08,設定,知見,エージェント定義の tools フィールドによるツール制限が SDK 環境で機能しない,エージェント定義の tools フィールドに含まれないツール（WebSearch 等）が SDK 環境で全て利用可能だった。tools は CLI の Task ツール起動時にのみ適用される。,[案] tools フィールドは意図の文書化として維持する。SDK 環境での制限が必要な場合は SDK レベルの制御を検討する。,起票,低,subagent-permission-model,,,,,issues/entries/ISS-046.md
ISS-047,2026-03-08,設定,知見,deferred tools が tools フィールドの制限を迂回する,CLI Task ツール環境でエージェント定義の tools リスト外のツール（WebSearch/WebFetch/NotebookEdit等）が ToolSearch 経由で利用可能。tools は初期ロードツールの定義であり deferred tools の制限メカニズムではない。,[案] tools フィールドは意図の文書化として維持。完全制限が必要な場合は disallowedTools の活用を検討。ガイドに記載済み。,起票,中,cli-permission-verification,,,,,issues/entries/ISS-047.md
ISS-048,2026-03-08,設定,改善提案,deny リスト設計時の Read/Write/Edit 網羅性チェック不足,settings.json の deny リストで .env や secrets/ に対して Read と Write は deny していたが Edit が未設定。Edit でもファイル変更可能なため3ツール全ての deny が必要。,[案] deny リスト変更時のチェック観点に Read/Write/Edit 3ツール網羅性確認を追加。rule-change-checklist への項目追加を検討。,クローズ,低,cli-permission-verification,,,2026-03-12,トリアージ20260312でクローズ（ISS-050と重複。ISS-050に統合）,issues/entries/ISS-048.md
ISS-049,2026-03-08,設定,知見,deny リストは CLI 環境で唯一の強制的制限,サブエージェント環境では allow リストは効果なし（全自動承認）・tools は deferred tools を制限不可。deny リストの設計が安全性の要。,知見として記録。deny リスト設計を重視する運用を継続する。,起票,中,cli-permission-verification,,,,,
